date,doctor_id,issue,detail
週2026-09-28〜,-,週4日未達,L3-13 はこの週に出勤5日に対し、配置は1日でした
週2026-10-05〜,-,週4日未達,L3-13 はこの週に出勤4日に対し、配置は1日でした
週2026-10-12〜,-,週4日未達,L3-13 はこの週に出勤5日に対し、配置は2日でした
週2026-10-19〜,-,週4日未達,L3-13 はこの週に出勤5日に対し、配置は2日でした
週2026-10-26〜,-,週4日未達,L3-13 はこの週に出勤5日に対し、配置は2日でした
週2026-09-28〜,-,週4日未達,L3-14 はこの週に出勤4日に対し、配置は1日でした
週2026-10-05〜,-,週4日未達,L3-14 はこの週に出勤4日に対し、配置は0日でした
週2026-10-12〜,-,週4日未達,L3-14 はこの週に出勤4日に対し、配置は2日でした
週2026-10-19〜,-,週4日未達,L3-14 はこの週に出勤4日に対し、配置は1日でした
週2026-10-26〜,-,週4日未達,L3-14 はこの週に出勤4日に対し、配置は2日でした
週2026-09-28〜,-,週4日未達,L3-15 はこの週に出勤4日に対し、配置は1日でした
週2026-10-05〜,-,週4日未達,L3-15 はこの週に出勤4日に対し、配置は2日でした
週2026-10-12〜,-,週4日未達,L3-15 はこの週に出勤4日に対し、配置は1日でした
週2026-10-19〜,-,週4日未達,L3-15 はこの週に出勤4日に対し、配置は2日でした
週2026-10-26〜,-,週4日未達,L3-15 はこの週に出勤4日に対し、配置は2日でした
週2026-09-28〜,-,週4日未達,L3-16 はこの週に出勤4日に対し、配置は2日でした
週2026-10-12〜,-,週4日未達,L3-16 はこの週に出勤4日に対し、配置は1日でした
週2026-10-19〜,-,週4日未達,L3-16 はこの週に出勤4日に対し、配置は2日でした
週2026-10-26〜,-,週4日未達,L3-16 はこの週に出勤4日に対し、配置は3日でした
週2026-09-28〜,-,週4日未達,L3-17 はこの週に出勤4日に対し、配置は1日でした
週2026-10-05〜,-,週4日未達,L3-17 はこの週に出勤4日に対し、配置は1日でした
週2026-10-12〜,-,週4日未達,L3-17 はこの週に出勤4日に対し、配置は1日でした
週2026-10-19〜,-,週4日未達,L3-17 はこの週に出勤4日に対し、配置は1日でした
週2026-10-26〜,-,週4日未達,L3-17 はこの週に出勤4日に対し、配置は1日でした
週2026-10-12〜,-,週4日未達,L2-01 はこの週に出勤4日に対し、配置は3日でした
週2026-10-19〜,-,週4日未達,L2-01 はこの週に出勤4日に対し、配置は3日でした
週2026-10-26〜,-,週4日未達,L2-01 はこの週に出勤4日に対し、配置は3日でした
週2026-09-28〜,-,週4日未達,L2-02 はこの週に出勤4日に対し、配置は3日でした
週2026-10-26〜,-,週4日未達,L2-02 はこの週に出勤4日に対し、配置は3日でした
週2026-09-28〜,-,週4日未達,L2-04 はこの週に出勤4日に対し、配置は3日でした
週2026-10-05〜,-,週4日未達,L2-04 はこの週に出勤4日に対し、配置は3日でした
週2026-09-28〜,-,週4日未達,L2-05 はこの週に出勤4日に対し、配置は3日でした
週2026-09-28〜,-,週4日未達,L2-06 はこの週に出勤4日に対し、配置は2日でした
週2026-10-05〜,-,週4日未達,L2-06 はこの週に出勤4日に対し、配置は3日でした
週2026-10-12〜,-,週4日未達,L2-06 はこの週に出勤4日に対し、配置は2日でした
週2026-10-05〜,-,週4日未達,L2-07 はこの週に出勤4日に対し、配置は3日でした
週2026-10-19〜,-,週4日未達,L2-07 はこの週に出勤4日に対し、配置は2日でした
週2026-10-26〜,-,週4日未達,L2-07 はこの週に出勤4日に対し、配置は3日でした
週2026-09-28〜,-,週4日未達,L2-09 はこの週に出勤5日に対し、配置は3日でした
週2026-09-28〜,-,週4日未達,L2-10 はこの週に出勤4日に対し、配置は3日でした
週2026-10-05〜,-,週4日未達,L2-10 はこの週に出勤4日に対し、配置は3日でした
週2026-10-12〜,-,週4日未達,L2-10 はこの週に出勤4日に対し、配置は2日でした
週2026-10-19〜,-,週4日未達,L2-10 はこの週に出勤4日に対し、配置は2日でした
週2026-10-26〜,-,週4日未達,L2-10 はこの週に出勤4日に対し、配置は3日でした
週2026-09-28〜,-,週4日未達,L2-11 はこの週に出勤4日に対し、配置は3日でした
週2026-10-12〜,-,週4日未達,L2-11 はこの週に出勤4日に対し、配置は3日でした
週2026-10-26〜,-,週4日未達,L2-11 はこの週に出勤4日に対し、配置は3日でした
週2026-09-28〜,-,週4日未達,L1-04 はこの週に出勤5日に対し、配置は3日でした
週2026-10-05〜,-,週4日未達,L1-04 はこの週に出勤4日に対し、配置は3日でした
週2026-10-12〜,-,週4日未達,L1-04 はこの週に出勤5日に対し、配置は3日でした
週2026-10-26〜,-,週4日未達,L1-04 はこの週に出勤5日に対し、配置は3日でした
